clean_text,label,Unnamed: 2
[討論] 33是內鬼嗎？亮哥說國會改革法是民眾黨提的 國民黨認為有道理過來挺你們 就33反對 財政收支劃分法在對決的時候 她本來該負責提案 結果33也沒有進場然後時間再提前到藍白合 就33極力反對 態度擺的很硬 還跟凌濤翻臉然後時間再提前到副市長 阿北出事的時間點 剛好都是33當副市長的時候 那些富商也不少是33牽線一家到現在還這麼相信內鬼 真的很扯--,3,
[黑特] 這次一定要想辦法送黃國昌上法院！大家早安真的是太誇張了原本以為勞動部事件只是一樁悲劇，但後來看了板眾們的文章才知道黃國昌黃委員這麼誇張，雖然可能晚了候任的洪部長不知道多久才知道，但他竟然沒有第一時間就利益良善的對何前部長咆哮，這真的太誇張了該用共犯的名義送黃委員上法院了吧？----      12 --,3,
[討論] 中日大戰民進黨支持者還會喊台灣隊嗎晚上會有精彩的棒球中日大戰由中華隊和四日本隊在冠軍賽前先打一場我就好奇不存在的台灣隊，會一直被自卑的民進黨支持者喊出來嗎？還是民進黨支持者會乖乖的喊中華隊或中華台北隊呢？我猜還是是會自慰的喊台灣隊啦可悲的是 中沒有什麼時候才要發動運動賽事正名呢？民進黨支持者有夠孬的--,2,
[討論] 廣東潮州因消防檢查致商店集體關門11月20日，中國廣東潮州市政府下發通知，宣佈開展消防安全環保衛生考核，如企業自身不合格，如被查到將罰款5萬元。導致潮州市幾乎全部商店近日都關門不營業，甚至許多小型商店直接收起來不做了。總計數量高達數十萬家。由於狀況嚴重影響居民日常生活，市政府隔天又緊急通知要求企業商鋪沒有正當理由，不得惡意關門拒檢或惡意不繼續經營。://./478?=-83://./0?=372://.///1859633820770672855阿北說中國官員素質很高笑死我看根本是支那政府沒錢，要藉著檢查勒索商家，沒想到大家不跟你玩了，乾脆收起來不做真的是割韭菜割到連寸土都不留-- ◆ 你顏色不對喔！ (可按  查看你的政治傾向)                 [按任意鍵繼續] --,0,
: [討論] 洪申翰當勞動部長錯在哪呢？？※ 引述《 (小紅帽@@~)》之銘言: 洪申翰當立委的時候 說真的 並不是優秀 也沒有很卓越的問政成績: 但是他轉當勞動部長為何會一直被砲？？: 請問一下 他有性騷？有貪污？有販毒？有違建？有關說嗎？洪申翰被罵爆，不是因為他做錯了什麼，而是因為他很爛。為什麼他很爛？因為他是民進黨的，民進黨是貪腐政黨，爛黨不會有好人才。同理可以套用在任何民進黨官身上。藍白可以舉出一狗票民進黨政府的狗官綠鳥側翼舉出一個民進黨政府的好官來看看啊--,2,
[討論] 萬老師智力到底有多低自己承認拖延萬老師智力到底有多低自己承認發言拖延時間笑死立法委員拿那麽多薪水結果萬老師自暴說上台發言拖延時間浪費人民的納稅錢智障青鳥的最愛--,2,
[黑特] 幹，謝宜容才不是罪魁禍首://../5.感謝台灣教育，從小教會我們欺善附惡霸凌的問題就是民主的本性謝宜容只是突顯台灣社會的慣例我承認這是人性多數去壓榨少數，甚至個體像是性騷性侵也是霸凌表徵之一霸凌一直發生校園都解決不了，社會解決的了？根本放屁，所以把謝跟謝的靠山挖出來棒球洗幾天版面，又跟沒發生過一樣--,0,
: [黑特] 洪申翰認為最重要的是全面杜絕打假卡左派的政策通常很可笑罵他的鄉民也是一樣智障為什麼要打假卡？你以為大家很閒做假資料喔？還不是因為錯誤的勞基法造成勞基法管一天最多加班幾小時一個禮拜加班多久、六日只能上班一天你公司重要事情會配合勞基法出現？重要緊急訂單要配合勞基法時程？跟競爭對手拼研發速度叫對手等等？罵的人根本無法理解有些事就是很重要有期限所以你們一輩子都在最底層但不是所有人跟事都跟底層思維一樣這就是為什麼員工要配合公司打假卡在你們眼中以為大家都是奴性左膠勞動部跟底層鄉民都是智障無法溝通這就是為何不可能杜絕打假卡的原因※ 引述《 ( )》之銘言：: 勞動部死人: 因為勞動部職場霸凌: 他檢討過後: 決定最重要的事情: 就是全面杜絕打假卡: 太棒了: 全台灣的勞檢人員: 加油--      14 --,2,
[討論] 目的良善，但行為過於嚴苛是啥意思呢？我剛剛去查百科全書霸凌是什麼意思？結果出現2024年，由中華民國勞動部解釋霸凌為「目的良善，但行為過於嚴苛」這意思目的良善 但行為嚴苛就叫霸凌可以申訴？還是霸凌的行為是目的良善，但行為過於嚴苛求解釋我這個文盲實在看不懂://../47.-----     --,0,
: [討論] 33是內鬼嗎？我早說了33是內鬼33戰績就是破壞者總統大選的藍白合在帳目表上留後門又故意放線索給給人之後再把阿北送去羈押到這裡33已經功成身退了民眾黨沒有阿北就不攻自破從民眾黨內部戰神是站國民黨這邊的而33很明顯就是站在民進黨這邊的阿北羈押後也不演了國會啊法案啊投票啊通通對國民黨有利他都有藉口缺席目的就是民眾黨解散後跳槽到民進黨※ 引述《123 (3哥)》之銘言：: 亮哥說國會改革法是民眾黨提的 國民黨認為有道理過來挺你們 就33反對 財政收支劃分法: 在對決的時候 她本來該負責提案 結果33也沒有進場: 然後時間再提前到藍白合 就33極力反對 態度擺的很硬 還跟凌濤翻臉: 然後時間再提前到副市長 阿北出事的時間點 剛好都是33當副市長的時候 那些富商也不少: 是33牽線: 一家到現在還這麼相信內鬼 真的很扯-----     --,3,
